,,"DGIF_1
(Academic Level)","DGIF_2
(Age)","DGIF_3
(Gender)","DGIF_4
(Family Income)","DGIF_5 
(No. of Family Members)",BIF_1 (Who influence your decision in subject selection),BIF_2 (Factor influencing decision),SGIF_1 (Dependency),"IAIF_1
(Adequate support and guidance )","ESIF_2
(What Decide Future Goal)",Predicted Mood,Overall,Mood Swing Type,Swing Type,Zone Switch
0,,Under Graduate,21-25 Yrs.,Male,800000,5,Your own decision,Personal interest,Previous students' experiences,No,Recent Trends,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
1,,Professional,More than 25 Yrs.,Female,1000000,5,Your own decision,Career prospects,Academic advisors,Yes,Hobbies/interest areas,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
2,,Post Graduate,21-25 Yrs.,Female,500000,4,Your own decision,Personal Interest,Previous Students' Experiences,No,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
3,,Under Graduate,21-25 Yrs.,Female,200000,4,Your own decision,Personal Interest,Online Resources,Not Sure,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
4,,Under Graduate,21-25 Yrs.,Male,500000,4,Your own decision,Parental Expectations,Friends and Peers,No,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
5,,Under Graduate,Less than 20 Yrs. ,Male,1000000,2,Your own decision,Personal Interest,Academic Advisors,Not Sure,Career Preferences,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
6,,Under Graduate,Less than 20 Yrs. ,Male,1000000,6,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
7,,Under Graduate,Less than 20 Yrs. ,Male,100000,7,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
8,,Under Graduate,21-25 Yrs.,Male,300000,4,Your own decision,Career Prospects,Previous Students' Experiences,No,Hobbies/interest areas,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
9,,Senior Secondary,Less than 20 Yrs. ,Female,200000,4,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
10,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Career Prospects,Previous Students' Experiences,Not Sure,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
11,,Professional,21-25 Yrs.,Male,800000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Career Preferences,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
